"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","374","invalidLoginTest_EmptyUsername","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_EmptyUsername"
"","21","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","746","validLoginTest","Default Suite","2025-10-03","passed","2025-10-03","Tests.LoginTest","ParaBank","Tests.LoginTest","validLoginTest"
"","490","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","12","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","102","openNewAccountTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","ParaBank","Tests.NewAccountTest","openNewAccountTest"
"","507","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","4","setup","Default Suite","2025-10-03","broken","2025-10-03","Tests.RegisterTest","ParaBank","Tests.RegisterTest","setup"
"","753","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","23","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","815","registerAccount","Default Suite","2025-10-02","broken","2025-10-02","Tests.RegisterTest","ParaBank","Tests.RegisterTest","registerAccount"
"","802","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","3","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","588","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","413","transferFundsTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","Transfer Funds Between Accounts","Tests.TransferTest","transferFundsTest"
"","764","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","419","invalidLoginTest_InvalidPasswordOnly","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_InvalidPasswordOnly"
